,nickname,score,review,stay_date
23,이강균,50,자주 이용하는데 깨끗하고 서비스 좋고 이가격대에 이만한대가 없네요 역시 신라 입니다 호텔에서 중요한것은 친절이라고 생각하는데 친절 만족이 높습니다,2020-06-01
24,roh,50,"신라스테이를 자주이용하지만 그 중에서 서초가 제일 좋은거 같아요 사전에 원하늕객실룸이라던지 서비스 그리고 서울강남권지역을 한 눈에 바라볼 수 있는게 너무 좋습니다.

지리적위치도 좋지만 객실컨디션이 정말 좋은거 같아요 다른사람들은 좁다고 하지만 저는 아기자기하면서도 깨끗한방을 선호해서 그런지 매번 마음에드네요",2020-06-01
25,김철범,50,서울에 지인들과 약속있어서 이용했습니다. 강남이라는 위치도 좋았고 주변 음식점도 많아 이용하는데 편했습니다. 객실상태도 좋고 직원분들도 친절했습니다.,2020-06-01
26,김영도,50,"체크인도 빠르게 도와주셨고, 전화 응대도 좋았습니다. 다만, 면도기를 제공하지 않아서 다소 불편했습니다. 방도 깨끗해서 편하게 지내다 갑니다.",2020-06-01
27,LEE DONGHOON,50,"그랜드 룸으로 사용했는데, 정말 좋았습니다. 룸 컨디션도 좋고 직원분들도 너무 친절하셨습니다. 강남역에 인접해 있어, 접근성도 좋습니다.",2020-05-01
28,Grace Song,50,대중교통을 이용해서 오기에 접근성도 좋고 근처에 먹을거리도 많아서 호캉스로 오기에 딱 좋아요. 대로변 근처이다보니 약간의 소음이 있긴하지만 룸 컨디션은 만족스럽습니다.,2020-05-01
29,Sujin L,40,"뷰가 조금 아쉽지만 시설이 군더더기 없이 잘되어있구요. 인테리어도 깔끔하고 침구가 깨끗하며 편해요. 서비스도 너무 좋았습니다.
만족하고 쉬고가요~",2020-05-01
30,ghno,50,"신라스테이는 광화문점,동탄점,서대문점을 방문해봤는데
이곳 서초가 가장 좋았습니다.
룸컨디션,식사 모두.

가벼운 호캉스나 비즈니스 목적으로 즐기기엔 아주 좋습니다.",2020-05-01
31,Xiao,50,"2박 일정으로 머물렀는데, 청결하고 조용하고 친절하셔서 좋았어요~
화장실, 샤워부스 깨끗해서 좋았구요, 중간에도 케어해주셔서 2박째되는 밤에도 깨끗하게 이용할 수 있었어요

옆에 공사중이어서 시끄러우면 어떡하지 약간 걱정했는데 문제없이 푹 잤어요

제가 기업체협약 예약하려고 전화했었는데 전화연결이 안돼서 체크인할때 말했는데 원래는 미리 전화예약을 해야되는거였는데 제가 상황 말하니 당일 예약도 해주셔서 감사했구요~
이전에 다른 지점 갔을때에는 욕조타입 샤워부스타입 선택에 대해서 한번도 듣지 못했는데 이번엔 선택할 수 있게 미리 알려주셔서 원하는 것으로 선택할 수 있었습니다~

양재역까지 한 5-10분 정도 걸어야하긴 하지만 광화문 북촌 서울역이랑 가까워서 저는 좋았어요!

다음에 또 이용할게요~!",2020-05-01
32,김티와,50,일 때문에 머물게 된 곳인데 객실이 생각보다 넓어서 쾌적합니다. 책상도 큼직해서 두 사람이서 노트북 펼쳐두고 일하는데 괜찮네요^^ 욕조도 있어서 좋습니당,2020-05-01
33,Jeon,50,"호텔을 이용할일있으면 항상 신라스테이만 이용합니다. 언제나 쾌적한 숙소환경과 최고로 편안한 침구류 그리고 고급 어매니티 까지!

직원들도 너무나도 친절하셔서 최고의 휴식을 취할수있는 곳 입니다.",2020-05-01
34,jaeminkim0523,50,"신라스테이는 서초 역삼 구로 세 곳을 다녀와봤는데 모두 깔끔하고 좋네요 !

역에서 그렇게 멀지도 않고 적당한 거리에 있습니다.",2020-05-01
35,wonjae lee,50,"신라스테이 여러곳 다녀봤는데
그중에서 서초점이 제일 깔끔하고 좋았어요
구조는 동일해서 다른점이 없지만 깔끔해서 만족합니다",2020-05-01
36,jjjjj,50,"방 내부도 깨끗하고 서비스도 좋습니다
근처에 일이 있으면 신라스테이 서초 다음에도 이용하고 싶습니다 추천드립니다다",2020-04-01
37,장이준,50,"신라스테이 서초 27층에 방을 잡았습니다
서울 도심지의 아름다운 야경을 구경할 수도 있고 2층에 위치한 라운지에서 간단한 간식을 먹으며 휴식취하기 좋습니다",2020-04-01
38,박서예,50,"첫번째 신라스테이는 마포로 다녀왔는데 이번 서초지점이 더 좋은것같다. 1층 로비 분위기, 어메니티부터 호텔리어분들의 친절도가 더 좋고, 다음에 또 오고싶게 만들어준다. 침구, 인테리어 다 맘에 든다. 적극추천😘",2020-04-01
39,Song,50,"설문조사,체온재기 등 체크인할 때 꼼꼼하게 해서 안심이 됐구요 흠잡을 데 없이 깔끔했습니다! 서비스도 친절해서 재방문의사 있어요~!",2020-04-01
40,Jet31507956979,50,"깔끔하고 아늑해서 종종 이용하고 있네요.
프론트에 계신 분들도 모두 친절해서 올때마다 기분이 좋습니다.
욕실용품도 모두 아베다 용품이어서 만족만족 하고 있네요...
타호텔 대비 가성비 짱입니다~~~~",2020-03-01
41,Yoon,40,"불가피하게 숙박이 필요해 신라스테이를 선택했는데 상당한 가격 할인으로 가격대비 높은 만족도로 숙박하고 갑니다
체크인시 발열 체크, 방역 등으로 신뢰감을 주는 부분과 룸컨디션 어메니티 등의 만족도가 높았습니다
그렇지만 룸 준비의 세세한 점에선 몇가지 아쉬운점이 남았습니다
먼저 방 안에 음식물 냄새가 남아있었고, 박스티슈에는 휴지가 단 3장만 남아있었습니다
이런 세세한 사항 몇가지만 더 신경써주신다면 아주 훌륭한 스테이가 될 것 같네요!",2020-03-01
42,Eunjee C,40,"이 동네 살면서 종종 조용히 일 하고 싶거나. 쉬고 싶을때 방문하여 푹 쉬다 갑니다.
라운지도 세련되고 부페도 저렴한 가격에 이용할수 있구요.
시설도 깔끔하고 욕실도 넓어서 좋아요.
어메니티도 아베다 브랜드여서 믿고 씁니다.
(오늘 보니 수건이 많이 낡았네요)
주변 상권도 좋아서 가까운 곳에서 식사하기 좋습니다.",2020-03-01
43,heosg1,50,"1박했습니다 시설도 깨끗하고 접근성도 좋고
직원분들도 친절합니다 잘 쉬다가 갑니다
다음번에도 재방문 의사있습니다 감사합니다.",2020-03-01
44,Julia_a,50,"호텔위치가 역과 가까워서 접근성도 좋았고
직원들도 매우 친절하셔서 기분좋게 다녀왓습니다^^
침구류 어메니티도 깔끔하고 편안했구요
방문객 열도 재고 철저하게 관리되는것 같아 마음 놓고 이용할수 있었습니다.재방문 의사 200%!!",2020-03-01
45,양지은,50,"남자친구랑 100일 기념으로 방문했습니다. 방 디자인도 좋고 아늑하고 좋았어요. 역과도 거리가 걸어서 조금 걸리지만 찾기도 쉬었습니다. 체크인 해 주신 남성직원분도 그렇고 전 직원분들도 웃는 얼글로 상냥하게 대해주셨어요 감사합니다:)
덕분에 행복한 100일이였답니당 !!!",2020-03-01
46,Stay35715229792,40,서울올때마다 항상 이호텔선택합니다~ 이동편리하고 직원분들 매우 친절요! 깨끗하고 가격대비 이상입니다~~ 주위 음식점도많구 호텔 조식도 굿이에요! 기회있으신분들 꼭 이용해보시길~~,2020-02-01
47,Danbi,50,"신라스테이 여러지점 가봤는데
시설이나 어메니티 다 똑같지만
서비스는 가장 좋은 지점이에요!
요구 사항도 다 들어주시고 너무 친절하셔서
기분 좋게 머물다가요
다음에 또 방문할게요",2020-02-01
48,Minjeong kim,50,"방도 깔끔하고 아베다 에머니티도 좋아요ㅎㅎㅎ
방이 춥다고 하니 히터도 가져다 주셨어요 :)
주말에 푹 쉬구 힐링하고 갑니다",2020-02-01
49,soonhyun k,50,강남 한복판에 합리적인 가격으로 호텔급 베딩에 서비스까지 너모 조아요♡♡♡ 다음에도 또 오고 싶은 그런 곳이었답니다요요요,2020-02-01
50,ahreum_h03,50,"가격대비 너무 좋아요.
로비 분위기, 복도 분위기, 또 체크인할때 직원들도 친절했고 룸 들어왔을때도 쾌적해서 너무 좋았습니다.",2020-02-01
51,Nicole K,50,"밤늦게 비행기타고 와서 잠시 쉴곳이 필요해서 들렀습니다. 이번엔 좀 짧게 있어서 조식을 신청하지 않았는데 보통 신라 스테이 부페가 구성도 괜찮고 맛도 좋았어서 서초점도 좋았을거라고 생각해요.
안좋은 점을 꼽자면 겨울에는 방이 조금 추운 것 정도가 있겠네요. 대로변에 있어서 위치를 찾기가 용이한 편은 아니지만 네비 찍고 오시면 됩니다
스텝분들이 친절하셔서 좋아요.
감사합니다~~",2020-02-01
52,힐링맨,50,"조용하고 참 좋고 편안하게 쉬고 갑니다
직원들도 친절하시고~~
어메너티가 무엇보다 맘에 들었네요
앞에 건물이 있어 조금 답답은 했지만 대체적으로 만족스럽게 쉬다 갑니다",2020-02-01
53,Jeon,50,"두번째 방문입니다! 가격대비 서비스 편안함으로는 그 어떤 호텔보다 최고의 서비스를 자랑한다고 확신합니다.
직원분들의 친절부터 룸인테리어, 침구의 편안함 까지 체크인부터 체크아웃 까지 모든게 훌룡했습니다.",2020-01-01
54,yerichoi,50,"시설도 군더더기 없이 깔끔하고 깨끗합니당
어메니티도 잘 갖추어져있고, 드라이기 다리미 등 다른 호텔에 구비가 안되어있는 경우도 많은데 필요한 모든 소품이 갖추어져서 편하게 잘 왔다 갑니다.

호텔급 시설에 가성비 좋은 저렴한 가격에 마음이 듭니다
강남역에 도보 가능해서 남편이랑 잘 즐기고 쉬다가 갑니다~

조식도 적당히 깔끔하고 좋아요♡

앞으로 매달 예약입니당",2020-01-01
55,Rachel SC,50,깨끗한 시설과 친절한 직원들로 투숙내내 편하게 있다 갑니다. 룸은 조용하고 해가 잘 들어와서 아침에 기분 좋게 일어날수 있었습니다. 다니기 편리한 위치로 강남역 역삼역 양재역등 다니기도 좋았습니다. 근처에 식당이 많진 않지만 역이 가까워서 불편하진 않았습니다. 단점을 굳이 말하자면 수건을 일정 수량 새걸로 더 구입하면 좋겠다는 생각이 드네요. 그리고 제가 있던 방 샤워기 고정기가 내려가서 조금 불편했네요. 수리 요청시 금방 고칠수 있는거지만 귀찮아서 요청하지 않았는데 방 정검시 기기부분은 한번씩 정검하시면 좋겠다는 생각은 들었습니다.잘 쉬다 갑니다.,2020-01-01
56,la7353,50,"위치도 좋고 예술의전당 과 카페들이 많아서 좋앗어요
프론트도 찬절하시고 로비도 깔끔하고😁
추천합니다 위치 시설 가격 모두 좋아요",2020-01-01
57,Song,50,"넓고 깔끔! 직원분들이 친절합니다. 이번 설캉스 패키지로 다녀왔어요. 청결하고 깔끔하게 관리되고 있다는데서 오는 편안함과 안정감이 들어서 좋았고, 침구류가 편해요. 폭신해서 기분좋게 잤습니다. 로비에 있던 나보다 큰 테이가 귀여워요.",2020-01-01
58,kikikidfdf,50,"객실서비스와 조식 가격까지 가성비 굿입니다
가장 저렴한 방으로 예약했는데도 고급 호텔에 온 기분이었습니다
서울임에도 불구하고 깔끔하고 한적해서 좋았구요 조식의 퀄리티 또한 어느 5성급호텔 다름없이 깔끔했습니다 빵도 눅눅하지 않고 좋았구요 갖가지 다양한 음식들 덕분에 먹는 재미가 일품이었습니다 특히 오믈렛이 정말 맛있었네요!
그리고 화장실에 민감하신분들도 좋을것같습니다 샴푸도 그냥 시중에 파는게 아니라 천연샴푸여서 따로 민감하신분들도 세면도구 걱정하실필요 없을것 같습니다 강추드려요~~",2020-01-01
59,Yonghyun,50,쾌적하고 아늑한 신라스테이에서 설 첫날 하루 보내고 갑니다 너무 친절하신 응대에 기분좋은 투숙이었습니다. 감사합니다,2020-01-01
60,지혜 김,50,"언제와도 아늑하고 친절한 신라스테이라서
서초점은 처음이었지만 호캉스하려고 예약했어요
설캉스 패키지로 조식까지 잘 이용하고
조용히 잘 쉬고 갑니다^_^",2020-01-01
61,HJY,50,친구들이랑 오랜만에 만나서 편안하고 즐거운 시간이었습니다. 요청한 사항도 바로바로 적용해주셔서 감사했습니다. 좋았어요.,2020-01-01
62,Taein K,50,"저렴한 가격에 수준있는 서비스, 호텔 앞 맛집들 역시 훌륭합니다. 호텔 객실은 작지만 책을 읽을 수 있는 공간이 로비에 마련되어 있고 직원들 서비스 마인드가 좋아서 기분좋게 묵었습니다.",2020-01-01
63,kyunghee,50,"가족들과 1박 했는데요... 직원들도 친절하시고 서비스도 좋았습니다!
룸컨디션도 괜찮았습니다.
도심에서 1박하기에는 신라스테이가 좋은것 같습니다.",2020-01-01
64,유니스,50,회의차 1박했습니다 직원분들 친전하시고 룸컨디션 좋았고 비지니스 위한 편의시설도 만족합니다 방이 넓지는 않았지만 혼자 머물렀던터라 충분했던거 같습니다,2020-01-01
65,rnrjfek11@naver.com,50,"남자친구랑 첫 서울여행이라 숙소 고민 많이 했는데 2박동안 잘쉬었어요~ 위치도 좋고, 룸 컨디션도 좋았습니다^^
다음에 서울 방문때 또 이용할게요 :-D",2020-01-01
66,Ggami,50,"안에 시설도 깔끔하고 직원분들도 하나같이 다 친절하셔서
또 오고싶어지네여. 다음엔 남자친구랑 같이 가겠습니다
감사합니다 ^^",2020-01-01
67,다브d,50,숙소가 청결하고 좋구요! 뷰는 별로 안좋지만 그냥 가볍게 숙박 하기에는 무난 해요 ...다시 서울에 놀러 오면 재 방문 하겠습니다,2020-01-01
68,Leedabin,50,"국내여행이나 출장 다닐때마다 늘 신라스테이를 이용하는편인데, 서초 신라스테이는 접근성도 좋고 교통도 편리해서 더 자주 찾게되는것 같네요 깔끔하고 푹 잘 쉬다 갑니당 :)",2020-01-01
69,Leh,50,"침구가 깨끗하고 푹신푹신해서 너무 좋네요
대체적으로 다 깨끗하고 어메니티도 잘되어있고
너무 만족합니더
그리고 직원들도 친절해서 잘 묵고 갑니다",2020-01-01
70,김대언,50,생각보다 넓고 편하고 아늑했습니다 침구류도 좋고요 다음에 또 올 의향있어요 ㅎㅎ 주차자리만 좀 . . . . 잘놀다갑니다 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,2020-01-01
71,의철 정,50,"조용하고 깨끗하고 따뜻ㅈ하고 너무 좋네요
위치도 강남역 양재역 중간 뱅뱅사거리쪽이어서 교통도 편리합니다 추천추천",2020-01-01
72,paul,50,"체크인할때 직원분들이 너무 친절해서
200일때도 오고싶어요
와인 오프너도 빌려주시고 잔도 빌려주시고
너무 친절해요

그때까지 만났으면....",2020-01-01
73,ECho,50,강남에서 놀고 숙박하기 좋은 위치에 있음. 룸이 깔끔하게 정돈되어있고 로비도 넓음. 직원분들도 친절하게 대해주셔서 좋았음,2020-01-01
74,경주 임,50,조금 늦게 체크인임에도 불구하고 직원 모든 분들이 친절하셨습니다. 또한 시설 또한 깔끔하고 잘 정돈되어 다시 오고 싶은 느낌을 주었습니다. 또한 실내온도를 높이면 건조해지기 마련인데 그렇지 않아 만족스러웠습니다,2020-01-01
75,ahirity,30,"신라호텔 계약의 비지니스호텔입니다. 강남역과 양재역 사이의 회사가에 위치한 호텔립니다. 침구류가 좋고, 조식가격이 적당합니다. 저녁에는 특정금액을 내면 맥주를 무제한 마실 수 있는 곳도 있습니다. 가격이 저렴하다는 장점이 있습니다. 회사가인 만큼 주말에 식사하기 애매합니다. 강남역 근처로 이동하면 음식점이 많습니다.",2019-12-01
76,zt5678zt,50,"야근하고 집가기 귀찮을떄 서초점을 자주가는데 깨끗하고
직원들도 친절합니다
지점 자체는 역삼이 크지만 아담하고 조용해서 좋아요",2019-12-01
77,Ssooooh,50,"저번에도 오고 이번에 두번 째 방문인데 깔끔하고 친절해서 넘 좋습니다 . 다음번에도 이용할 예정입니다. 일단 강남역이랑 가까워서 좋고 룸 컨디션도 깔끔하고 깨끗해서 위치, 서비스, 룸 전부 다 맘에 듭니다 ~~~",2019-12-01
78,JinBinLee,50,"예전에 서대문 신라스테이 투숙하고 두번째 신라스테이 투숙입니다.

이미지는 비슷하면서도 다른데 업스케일호텔인 만큼 필요한거는 다있습니다.
체크인전에 대중교통권장 문자를 받고 강남역에서 걸어갔는데 조금 멀었지만 못걸어갈정도는 아니네요.

체크인은 기다림없이 빨리할수있어서 좋았고 그만큼 더 친절하게 체크인 도와주신것같아서 좋았습니다.

객실은 깨끗하고 침대도 좋아서 푹 쉬다온것같습니다.
체크아웃할때 조금 늦게나왓는데 친절하게 도와주셔서 감사합니다.

여자친구도 자주 오면 좋겠다고하니 다음에 또 방문예정입니다",2019-11-01
79,김영선,50,친구와 호캉스로 신라스테이서초를 선택했는데 아주 훌륭한 선택이였습니다. 직원들도 친절하고 음식도 아주 훌륭했습니다! 다음에 또 방문할 예정이에요^^,2019-11-01
80,Yujinida,50,"일단 프론트부터 시작해서 객실내부까지 정말 여태까지 받은 서비스중에서 정말 좋았습니다.
하루숙박하는데도 이렇게 손님을 한분한분 생각해주시고 정말 밝은미소로 사람을대하는것이 저한테는 인상깊었습니다
객실내부는 깨끗하구요. 그외에도 엄청좋았습니다 ㅎㅎ
이제 서울오면 신라스테이 서초만 이용해야겠네요~",2019-11-01
81,SUNG TAN,50,"전반적으로 좋았습니다. 기본적인 안내는 물론이고 주차안내 역시 좋았어요. 다른 호텔과
다르게 정말 친절하고 프론트 객실 할것 없이 좋더라고요. 특히 엘레베이터에서 만난 분깢도 웃으면서 인사하는게 정말 좋았어요. 객실도 깨끗하고 만족 다음에 무조건 다시 오고 싶습니다",2019-11-01
82,eve200,50,"가족과함께 방문했어요
로비에 있는 커다란 인형과 함께 사진도찍고 즐거운시간을보냈네요
다음달에도방문예정입니다^^",2019-10-01
83,뽀샤시,50,"친구와 호캉스를 즐기고왔어요~~
비싸지않은 가격으로 만족만족만족!
편하게 즐겼어요~
로비에서는 귀여운 인형과 친절한 직원들이 반겨줘서 좋았어요~
전반적으로 만족했습니다~!",2019-10-01
84,OnAir823708,50,"호캉을 즐기려고 주변 여러곳을 고민하다 선택한 신라스테이 서초점
방은 생각보다는 작지않아 사용하는데 불편함은 없었고 깨끗하게 관리된 침대와 욕실에 만족했습니다흡족하게 쉬고왔습니다",2019-10-01
85,소영 정,50,"오랫만에 신라스테이 서초 투숙을 했습니다.
2달전 쯤 신라스테이 이용했을 때에도 좋은 기억으로 남아 이번에도 이용을 하게 되었는데 역시나 실망 시키지 않네요!
직원들이며 룸컨디션이며 조식까지 맛있게 먹고 갑니다. 금요일이여서 그런지 지하주차장이 만차되서 멀지 않은 곳에 주차하긴 했지만 모든 것이 만족스러워서 그점은 문제가 되지 않았어요~
다음에도 또 서초점으로 투숙할것 같네요~^^",2019-09-01
86,Mingyeol Kim,40,"업무차 방문으로 다녀왔습니다.
위치는 지하철역 강남과 양재 사이에 준수한 편입니다. 전체적인 규모는 그저그런 비지니스호텔의 수준이며 직원들의 응대 또한 딱 그정도 입니다.",2019-09-01
87,sar4347,50,"호텔은 확실히 다르네요
방이 조금 작긴 했지만
깨끗하고 침대도 폭신해서 좋았어요
무엇보다 실내 온도가 적절해서 좋았네요
조식은 조금더 다양하면 좋을것같아요",2019-07-01
88,jaehyon,50,"업무차 잠깐 머물었습니다.
직원분들이 친절하고
객실과 시설이 전반적으로
깔끔하게 운영되고 있습니다.
아침식사도 종류가 다양하였습니다.",2019-07-01
89,kimmirala,40,"서비스는 좋았습니다. 그런데 도심지라 그렇겠지만 주차타워인 점이 조금 불편함.
객실은 무난한 사이즈에 깔끔하고 하루 지내기엔 손색없었습니다.
욕실은 샤워부스 객실을 이용했는데 실리콘에 까만 물떼 자국이 남아 있어서 약간 불쾌했습니다.
위치는 좋았습니다. 주변 식당도 좋았고, 부족함 없었습니다. 다만, 사방이 공사현장임.
일박만 이용한 터라 큰 불편 없이 잘 있다 왔습니다.",2019-07-01
90,561jjose,30,체크인하러 갔을때 체크인카운터를 몰라 헤매고있는데 직원분들께서 카운터에 안계시고 하하호호웃으며 다른데서 단체사진을 찍고계시더라구요. 헤매고있으면 이쪽이라고 안내해줄만도한데 그런거없이 어디죠?라고물었는데도 대답도안해주시고 약간 비웃듯이 맞이하는게 굉장히 불쾌했습니다.,2019-07-01
91,jkryu2019,40,"특급호텔같은 서비스를 바라는 것은 불가하지만 특판 등을 사용하여 투숙한다면 좋아보인다. 룸컨디션이 신라라는 이름값치고 별로였지만, 가격대비 생각하면 뛰어난 수준이고 조식이 훌륭하다.",2019-07-01
92,최은영,50,"급하게 숙소를 잡았는데 기대이상으로 접근성도 좋고
객실 상태도 아늑하고 깔끔해서 편하게 이용할수 있었습니다.
추천합니다👍",2019-07-01
93,teddybeer,50,위치도 좋고 깨끗해서 좋았습니다! 주변 공사들도 끝나면 더 전망도 좋을거 같아요~~ 피트니스 클럽도 아주 좋아요 담에또올래요,2019-07-01
94,hyunjoo47,50,좋은 위치와 깨끗한 시설 좋은 서비스로 혼자 쉬기에도 최적의 장소입니다. 가격도 훌륭. 여행객에게도 좋은 선택일것 같아요,2019-06-01
95,준형 이,50,"직원분들도 너무 친절하고 위치도 좋습니다 무엇보다 룸 베드가 편하고 좋네요
아침 식사는 만족할 정도였습니다
추천합니다",2019-06-01
96,seungheun,50,"교통도 편리하고 깨끗하게 2박동안 잘 머물다 갑니다.
저녁늦게 문의드렸는데도 친절하게 알려주시네요 ㅎㅎ
친절한 서비스로 기분좋은 추억만들었습니다!
다음에도 방문할게용",2019-06-01
97,LHs,50,"서울 강남 도심지에 있으면서 가격도 적당하고
침구류도 깨끗하고 매트리슥도 푹신해서 편해요 게다가 아베다 욕실용품도 구비되어잇어서 너무 좋았어요! 다음에 또 올거같아요",2019-06-01
98,Curious47910617400,50,방이 깔끔하고 깨끗하고 아늑해서 좋습니다. 그리고 조식이 정말 맛있습니다. 음식 메뉴가 베이직하면서도 맛이 깔끔하고 맛있습니다.,2019-06-01
99,Alia,50,"어머니 모시고와서 편하게 쉴 수 있었습니다.
조식도 깔끔하고 방도 방음이 잘 돼서 푹 잘 쉬었습니다!
위치도 양재역이랑 강남역 사이여서 서울 여행하는데 어려움이 없었습니다!",2019-06-01
