,nickname,score,review,stay_date,label1
4611,Moojiny,50,가족의 생일을 축하하기 위해 슈퍼세일에 2박 예약을 했습니다 직원들이 전문적이고 친절합니다 르클럽멤버십 혜택으로 객실 업그레이드 및 레이트체크아웃 제공 받았습니다 조식은 예전보다 점점 나아지는 것 같았고 과일 및 죽 제공 되는 섹션이 늘어난 것 같았습니다 레지던스 객실의 각종 편의 시설은 숙박하는데 불편함 없이 이용할 수 있었습니다 키즈룸 이용도 했는데 겨울철 난방으로 인해 실내가 많이 건조 했습니다 가습시설이 추가되면 더할나위없이 좋을 것 같습니다,2019-11-01,
4612,Yeon joo,50,친구들과 1박2일로 송년회 파티 했어요 신축건물이라 건물도 깔끔하고 쾌적했고 남산타워도 보여서 창문열어두면 야경도 좋아요 근처에 영화관이랑 쇼핑센터도 가까워서 구경하기 좋았어요 직원분들도 친절하시고 특히 강지연매니저님 저희가 잘못 신청했던 부분이 있었는데 잘 설명해주시고 해결해주셨어요 또 가고싶네요,2019-11-01,
4613,Sehan Gwon,50,시설 룸컨디션도 깔끔하고 좋았지만 특히 프런트 직원분들에게 감사드립니다 갑작스럽게 객실 변경을 요청드렸는데도 굉장히 친절히 변경해주시고 안내까지 도와주셔서 감사합니다 ,2019-11-01,
4614,ryungkim710,50,호캉스 차원에서 예약한 신라스테이 동탄 이였습니다 신라의 이름을 믿고 예약하여 방문했지만 역시 신라 였습니다 정말 최고 수준의 침대였습니다 바로 잠들어서 아무것도 못할 뻔 할 만큼 너무 푹신하고 아늑한 침구류 였어요 직원들의 서비스도 최고 수준이 였고 조식은 어느 호텔 메뉴와 비슷했지만 맛은 비슷하지 않은 너무 맛나게 잘 먹었습니다 정말 편안한 투숙 이였습니다 신라스테이가 있는 지역을 방문하면 앞으로는 계속 신라스테이를 이용할까 생각중입니다 정말 추천하는 호텔 입니다,2019-11-01,
4615,Jinky,50,주차장도 넉넉하고 호텔도 전체적으로 엄청 깨끗합니다 어메니티도 아베다라서 너무 좋네요 직원분들도 친절하세요 주변에 번화가도 많아서 외식하기도 좋아요,2019-11-01,
4616,sunghisunghi,50,프론트 너무 친절하시고 가족상황에 맞게 룸배정 너무 좋아요 시설도 깨끗하고 깔끔해서 아기랑 같이오기에 너무 좋았어요,2019-11-01,
4617,쿄느님,50,항상 올때마다 친절하게 안내해주시고 시설도 청결하고 조용하고 만족스럽게 이용하고 있습니다 어메니티도 만족스럽고 동탄은 특히나 파크뷰가 인상적이네요 아침에도 밤에도 커텐을 열고 보는 뷰는 항상 아름다워요  항상 방문하는 지역에 신라스테이가 있는지 먼저 찾아보게 되네요 동탄점은 벌써 3번째 방문인데 아마 앞으로 더 많이 오게될것 같네요 오늘 하루도 감사합니다 ,2019-11-01,
4618,kim seo hee,40,항상 룸컨디션 좋으며 친절한 곳이예요 어메니티도 민트향이 나서 개운한 기분이구요 비지니스 호텔 치고는 깔끔하고 업무이외에 그냥 묵어도 훌륭한 곳이예요 역시 믿고보는 신라스테이예요 처음 방 받았을때 방 환기가 안된다고 하니 다른방으로 빨리 바꿔주시는 것도 너무 맘에 들었습니다 빠른대처가 좋았습니다 항상 친절하시며 웃는 얼굴로 맞이 해 주셔서 감사합니다,2019-11-01,
4619,Yeoniee,50,신라스테이 룸 컨디션도 좋고 깔끔해여 항상 잘 이용하고 있어요 응대도 잘 해주시고 파크 뷰로 이용했는데 뷰 정말 좋습니다,2019-11-01,
4620,장성원,50,급하게 찾다가 간곳이었는데 너무 잘쉬다 갑니다 어메니티 추가요청도 바로 들어주셔서 감사합니다덕분에 잘 쉬다 갑니다,2019-11-01,
4621,쩨리,50,신라스테이 회원이라서 자주 이용하는데 이번에는 수원에 볼 일 있어서 동탄지점에 갔는데 신라스테이 직원들은 어디든 다 친절한거 같아요 제가 좀 까다로워서 이거저거 많이 요청했는데 동탄 직원들이 다들 웃으면서 서비스해줘서 편하게 투숙하고 가네요,2019-11-01,
4622,김동섭,50,숙소는 딱히 말할것이 없이 좋고 신도시라 근처에 웬만한건 다 있어서 좋았습니다 체크인시간이 빠르고 체크아웃이 늦어서 푹 쉬다 갔습니다,2019-11-01,
4623,혜진 문,50,출장갈때마다 잘 이용하고있습니다 욕조 타입여부도 신청이가능합니다 다른지점은 불가능했는데 동탄은 레이트체크아웃도 해주셨습니다 한시간 더 연장시켜주셔서 편했습니다 무료로 해주셨습니다 근처에 식당도 많아서 식사하는데 불편함없습니다 10분거리에 쇼핑센터도 있습니다 그곳에 영화관도 있어서 출장이 아니신 분들도 편하게 지내다 갈 수있습니다 조식은 먹지 않았습니다,2019-11-01,
4624,진범 이,50,결혼하구 쉼이 필요해서 가까운 근처 호텔을 검색하다가 6주년기념 동탄 신라스테이에서 괜찮은 패키지를 팔고있길래 토일 디너 패키지를 이용했습니다  접근성이 용이해서 일단 좋았고 18층 욕조있는 객실을 배정받았습니다 저렴한 가격에도 가운슬리퍼아베다 어매니티까지 객실 상태도 깔끔하게 잘 정돈되어 있었습니다  특히 7층에서 제공하는 디너 또한 훌륭했습니다  깨끗하고 편안한 객실 맛있는 저녁식사 잘 쉬고 갑니다,2019-11-01,
4625,유진 오,50,역시 신라스테이  동탄이 그중에서 깔끔하고 친절합니다  밥도마싯구여  꼭 가세요  시설도엄청 깨끗하고 뷰도좋고  넓고 위생적이고 좋네요  대신 주차장이 좁은게아쉽네여  좀더넓었좋은데  그래도 엄청좋아아아아아아아아아아요  담에 꼬오오오오오오오오오오오오옥가세여  조식도 소문대로 마싯네여마싯네여 마싯네여 마싯네여 마싯네여  시간도넉넉하구 너무좋아여  배게도편하구여  또올게여,2019-11-01,
4626,songchohee,50,신라스테이동탄 지점에서 오랜만에 투숙했지만 변함없이 편한하게 잘쉬다갑니다 조식 할인권도주시고 직원들덕분에 다음에 또 투숙할 기회가있을것같습니다,2019-11-01,
4627,장성원,50,가까운 곳에서 쉬기 위한 공간을 찾던 저에게 안성맞춤이었습니다 조금 이른것 같지만 트리 꾸며놓으신 것도 이쁘게 잘되있어서 구경 잘하고 갑니다,2019-11-01,
4628,Seungman song,50,출장때문에 자주 이용합니다 방도 쾌적하고 프론트도 정말 친절합니다 방도 깨끗하고 침구류도 항상 손질이 잘 되어있습니다,2019-11-01,
4629,JieonAn,20,구로에 업무차 갈 일이 종종 있어 그동안 포인츠구 베스트웨스턴 롯시티호텔을 이용했습니다 이번에는 신라스테이에 한번 가봐야겠다 생각해서 선택했습니다 다시 갈 의향 없습니다 돈이 몇 만원 더 비싸더라도 다른 숙소에 묵겠습니다 8시쯤 체크인했는데 엘리베이터 내리자마자 복도에 신음소리가 크게 울려 깜짝 놀랐습니다 방안에서 나누는 대화가 웅얼웅얼 정도가 아니라 정확한 단어까지 들립니다 다른 방에서 들리는 티비소리가 반가울 지경입니다 2박이었는데 1박 후 일하고 돌아오니 샤워부스에 제 머리카락이 그대로 엉켜있었습니다 먼지가 쌓여있고 의자는 더러워서 샤워가운 깔고 앉았습니다 지하철 이용해서 가시는 분은 6번 출구로 나오면 길 건너기가 조금 애매합니다 어느 방향으로 가든 좀 걸어야 건널목이 있습니다 전철 지나가는 소리가 계속 들립니다 안팎으로 시끄러우니 소음에 민감하신 분은 참고해주세요,2019-11-01,
